Agency,Reason Rejected
אלפא נכסים מודיעין (Gil Chen),"Has a modern, professional dedicated website (alfa-modiin.com), 6 consecutive years ranked a top Modiin office — Good website, reject."
"אלמוג נכסים, מודיעין (Irit Almog)","Has a modern, professional dedicated website (almog-nadlan.com) with listings, testimonials and agent bio — Good website, reject."
Down-Town מודיעין (דאון טאון),"Has a modern, professional dedicated website (dtmodiin.co.il) with full listing categories — Good website, reject."
"נחלת בנימין, מודיעין",Confirmed via press coverage that this office became the Keller Williams Modiin franchise in 2017 — now part of the international KW network with its own corporate web presence (kwisrael.kw.com); the old Nahalat Binyamin branding/Facebook page appears to be legacy. Reject as franchise-covered.
אל הנכס מודיעין (El Haneches Modiin) — Julie Argamani,"Franchisee of the El Haneches national real estate network, which operates its own corporate website (el-haneches.co.il) — franchise-covered web presence, reject."
"נדלן פרו, מודיעין (Nadlan Pro)","Has a dedicated professional website (nadlan-pro.co.il) — Good website, reject."
"דויד ניסנוב, פסגת זאב/נווה יעקב, ירושלים","Confirmed via Yad2 agency ID to be a staff broker working under Tavel Nechasim (already included as a qualified prospect via its owner Shlomo Agay), not an independent decision-maker; own Facebook page has only 53 likes — redundant and low authority."
"נדל""ן תורג'מן (Turgman Real Estate), טלפיות ירושלים","Has a dedicated professional website (nadlan-turgeman.co.il) — Good website, reject."
"מגן נדל""ן, ירושלים (Magen Real Estate)","Operates a dedicated professional website (magennadlan.co.il) — Good website, reject."
ים נדלן ירושלים (Yam Nadlan Jerusalem),"Operates a dedicated professional website (yamnadlan.com) — Good website, reject."
"YBDI יזמות נדל""ן, מודיעין","Real estate entrepreneurship/development company, not a residential listings brokerage — poor fit for the photo-enhancement-of-listings ICP."
"מניב 360, מודיעין","Real estate investment consulting/education business, not an active residential listings brokerage — poor fit for the ICP."
"תיווך תמרה יהודה, פסגת זאב ירושלים","Only a bare directory listing found (address + generic description); no owner name, Facebook page, or deal-flow evidence could be verified — insufficient public information."
"תיווך כל הפסגה — עטדגי דוד, פסגת זאב ירושלים","Only bare directory listings found across multiple sources; no Facebook page, owner confirmation beyond a surname, or deal-flow evidence — insufficient public information to verify."
משרד תיווך הרצליה פיתוח - א.א. יפית (AA Yafit),"Has real professional websites (aayafit-marina.co.il, aayafit-villa.co.il) — Good website, REJECT."
Yokra Estate - יוקרה אסטייט,"Has a real professional luxury-brokerage website (yokra-estate.co.il) run by CEO Yosi Mimran — Good website, REJECT."
"משפחת רז נדל""ן (Raz Family Real Estate)","Has a real professional website (raz-nadlan.co.il); also 7-years-running #1 Herzliya brokerage per Madlan — too established, Good website REJECT."
"שאטו נכסים (Chateau Properties, Ra'anana)","Has a real professional website (chateau-properties.co.il), founded/owned by Doron Bartel — Good website, REJECT."
איצקוביץ' נכסים (Ra'anana),"Has a real professional website (gilitzcovich.com) — Good website, REJECT."
"גולן נדל""ן (Golan Nadlan, Ra'anana)","Has a real professional website (golan-nadlan.co.il) — Good website, REJECT."
תיווך גלי תכלת (Herzliya Pituach),"Has a real website (galeitchelet.co.il) — Good website, REJECT."
Home Herzliya Pituach Real Estate,"Has a real, actively maintained bilingual website with listings (welcomehome.co.il) — Good website, REJECT."
"לידרס סוכנות תיווך נדל""ן (Herzliya)","Has a real professional website (a-leaders.co.il) — Good website, REJECT."
Landsman (רעננה),"80+ agent franchise network founded 2022 with its own professional website (landsman.co) — too large/franchise, Good website REJECT."
"ורדי נכסים (Ronen Vardi, Ra'anana)","Has a real professional website (vardirealestate.com) — Good website, REJECT."
בני מיטוקו (Ra'anana),"Has a real website (bm-home.co.il) — Good website, REJECT."
"שמרית שלום / Queen נדל""ן (Ra'anana)","Has a real professional website (queen-nadlan.co.il); co-owned with Hila Drucker — Good website, REJECT."
"גולדנהאוס (Goldenhouse, Ra'anana)","Has a real professional website (goldenhouse.co.il) — Good website, REJECT."
אודי ויטמן - אנגלו סכסון הרצליה,"Franchise agent under Anglo-Saxon's own professional network website (anglo-saxon.co.il) — franchise-level real website, REJECT; also limited independent decision authority."
"טרקלין נדל""ן KW (Herzliya and Ra'anana branches)","Keller Williams international franchise with a professional network website and brand — Good website / oversized franchise, REJECT."
תיווך משי (Herzliya),"Has a real professional website (meshynadlan.co.il), owner Tzachi Shimon — Good website, REJECT."
"בלום נכסים (Blum Nechasim, Herzliya)","Has a real website (blum-realestate.com.il), owner Eli Blum, 50-year-old firm — Good website, REJECT."
ערן סלוצקי (Eran Slutzki),"Has a real website (erannadlan.com) tied to ""סוכנות מר נדל\""ן"" — Good website, REJECT."
רפי כהן (Rafi Cohen),"Has a real website (raficohen.co.il); also actually operates in Ramat Gan/Givatayim, not Herzliya — wrong city and Good website, REJECT."
"מ.מ.מ נדל""ן (Kfar Shmaryahu)","Has a dedicated professional website — Good website, REJECT."
אורי טל נכסים (herzliya-pituach.com),"Has a dedicated professional website — Good website, REJECT."
"שעשוע קדורי ובנו (60 years, Herzliya)","Has a dedicated professional website — Good website, REJECT."
Vera Prime (Herzliya),"Has a dedicated professional website — Good website, REJECT."
M.E Real Estate (me-realestate.co.il),"Has a dedicated professional website — Good website, REJECT."
"תיווך נינוה (Ninveh, Ra'anana)","Has real websites (ninve.co.il, ninveh.net) and operates 3 branches (Ra'anana, Ramat Aviv, Tzahala) — too large/established, Good website REJECT."
"עליזה נקסים (Aliza Nakasim, Ra'anana)","Has a real website (aliza-nadlan.co.il) despite thin (61-like) Facebook — Good website, REJECT."
Raanan Nadlan (Ra'anana),"Has a dedicated professional website (raanannadlan.com) — Good website, REJECT."
קובי לוצקי / Turkiz Group (Ra'anana),"Operates under turkizgroup.co.il, confirmed to be a real, fully-functioning brokerage website with active listings, valuation tools and neighborhood guides — Good website, REJECT."
נעמי רחל טוב ולינדה אולמרט (Ra'anana),"Operate under the RE/MAX ONE franchise brand — franchise-level real website/brand presence, REJECT."
Karin Danino / Einat Barzilai (Ra'anana),"Keller Williams Ra'anana branch agents — franchise agents with no independent authority, REJECT."
"אביחי עשור (יועץ נדל""ן)",Only a single thin directory entry found; insufficient public evidence of deal flow or marketing presence to verify as a qualified prospect.
אלי דוד (Herzliya),Two small Facebook pages (64 and 177 likes) with minimal activity evidence — insufficient marketing/activity signal.
אורן בן עמי (Herzliya),"The only concrete listing found for this agent was in Tel Aviv, not Herzliya — location/activity focus could not be verified as genuinely Herzliya-based."
רינת מעוז - תיווך דירות אישי,Only directory-level presence found; insufficient evidence of deal flow or active marketing to verify as a qualified prospect.
מיטל דהרי,Publicly stated coverage area is primarily Ramat Gan and Givatayim (board member of that city's brokers association); not verifiably Herzliya-based.
שון חרפקובסקי,"Tied to a boutique firm (Lotus Nadlan) co-founded by other named individuals (Avi Dalach, Lena Charpakovsky) — decision authority/ownership could not be verified; possible junior/family-member role rather than principal."
Real Estate MYA (Ra'anana),Owner/agent's full name could not be confirmed despite multiple directory checks (only a partial first-name guess from an email address); insufficient identity verification to include.
מתן חדד (Herzliya),"Operates under an unnamed ""family real estate agency"" whose ownership structure could not be verified, and overall activity/marketing evidence was thin — fell below the quality bar after scoring."
שור נכסים רעננה / SvR Properties / NadlanisTeam,"Evidence suggests this may actually be a Netanya-headquartered multi-branch team (""our ten agents"") with a Ra'anana branch rather than a genuinely small independent local business — could not verify scale/independence."
"אחוזת הנדל""ן (Ra'anana)","Owner's name could not be determined, and the business could not be reliably disambiguated from a same-named but apparently unrelated construction-project-management firm — risk of data mixing, excluded."
Shir Grinberg (Ra'anana),"Could not confirm she operates as an independent Ra'anana-based principal rather than as an agent for a larger, possibly non-Ra'anana firm (ריל קפיטל בע""מ)."
"שפע נדל""ן רעננה","Could not disambiguate this small Ra'anana Facebook page from an unrelated, Gedera-based company of the same name that has its own website — excluded to avoid data-mixing risk."
"שלי בצר – נדל""ן כפר סבא",Already an existing client/demo site built for this business (sheli-betser-nadlan.vercel.app per internal records) — not a fresh prospect.
עדי שכטר מתווכת עצמאית,Already an existing client/demo site built for this business (adi-shechter-nadlan.vercel.app per internal records) — not a fresh prospect.
"Midtown – מידטאון שיווק נדל""ן","Has a professional, modern, functioning website (midtown-nadlan.co.il) with listings, testimonials, and blog — Good website, reject."
"פנינה בן גל נדל""ן",Has an owned professional website (ben-gal.co.il) with active property listings — reject.
"עמוס שטרית – נדל""ן",Has an owned professional website (amosnadlan.co.il) with listings and YouTube channel — reject.
"בני מיטוקו – יועץ נדל""ן",Has an owned website (bm-home.co.il) — reject.
"אבי סופר – מומחה לעסקאות נדל""ן","Keller Williams-affiliated agent with owned websites (avisoffer.co.il, soferavi.co.il) — reject."
"אור נדל""ן רמת השרון",Family-run office with an owned professional website (or-nadlan.co.il) — reject.
"מירי אופק בע""מ","Ranked #1 broker's office in Ramat Hasharon (Madlan, 4 years running) with owned website (miri-ofek.co.il) — too established/well-resourced digitally, reject."
תיווך אבידן (אבי אבידן),Has an owned website (avi-avidan.com) with active listings — reject.
שי שחר – תיווך ושיווק פרויקטים,Has an owned professional website (shaishahar.co.il) — reject.
"ארץ קדושה – נכסים תיווך וייעוץ נדל""ן",Described as a multi-agent brokerage firm ('their agents specialize...') rather than a single identifiable owner/lead agent; website domain (eretzkdosha.co.il) indexed but no longer resolving — overall evidence too weak/ambiguous to confidently qualify.
"ליאור בר עוז תיווך נדל""ן","Insufficient verified evidence of established deal flow; risk of being a newer entrant to brokerage (young, law-degree background) and potential confusion with the much larger, well-resourced Bar-Oz development group of the same surname — skipped for data-integrity caution."
"ניר לוי – יזם ויועץ נדל""ן (Real Capital)","Operates under the Real Capital franchise brand; insufficient independent evidence of listing volume, and franchise affiliation raises unresolved risk that a Real Capital-hosted page could count as a website — insufficient confidence to qualify."
ליז ורד – שיווק נכסים,"Only directory listings found (no dedicated site, consistent with candidacy) but no evidence of real estate activity volume, marketing presence, or FB engagement — too thin to score above threshold."
"הוד נכסים – תיווך נדל""ן","Based in Hod Hasharon, not Kfar Saba or Ramat Hasharon — out of scope city."
Century 21 Ramat Hasharon (רוני רוקח),International franchise brand — certain to have a well-resourced professional website; not pursued further.
"דור הרליך / שחף נכסים / ערן נכסים / מיקי נכסים / איל-נכסים / גלובוס נדל""ן (Kfar Saba directory names)","Surfaced only as names on a Kfar Saba brokers directory listing; further web research was blocked by search CAPTCHA / rate limits before authority, activity, or website status could be verified — excluded rather than guessed."
"רחלי — יועצת אישית, נדל""ן רמת השרון והסביבה",Could not reliably distinguish this candidate from a similarly-named agent in a different city (Ramat Gan); insufficient verified location-specific evidence.
"שי אריאלי יועץ נדל""ן / ליאת ענבר (RE/MAX Kfar Saba)","RE/MAX-franchised agents; skipped due to unresolved ambiguity over whether RE/MAX-provided agent pages should count as an owned website, and lower likely independence/authority under a large franchise brand."
"גיא פלד / GP Realty (gprealty.co.il), פתח תקווה","Good website — modern, professional agency site with active blog and multi-neighborhood coverage."
"הום נדל""ן (Naor Adri), פתח תקווה","Good website — modern homenadlan.co.il with search filters, calculators, active social channels."
"נקסט האוס נדל""ן (אביעד ממן), פתח תקווה","Good website — modern, professional nexthouse.co.il with clear navigation, testimonials, educational content."
"נדל""ן חכם (ג.ע. ייזום בע""מ)","Has a real website (multiple domains: nadlanhaham.com, eng.nadlan-haham.co.il) and FB page geolocated to Tel Aviv, not Petah Tikva/Rishon LeZion."
"מרום טים נדל""ן, ראשון לציון","Good website — modern marom-team.co.il with active blog, testimonials, ~20 years positioning."
"אוונטורין נדל""ן, ראשון לציון","Good website — modern aventurine.co.il with property search filters, neighborhood guides, 4.8-rated listing."
"לידרס נדל""ן","Good website (a-leaders.co.il) and actually based in Herzliya/Ra'anana, not Rishon LeZion — location mismatch plus strong site."
"הבלוק סוכנות לנדל""ן (Ha'Block), ראשון לציון",Good website — modern nadlanhablock.com; self-described top-3 brokerage in the city.
"יאן שובייב נדל""ן (RE/MAX), פתח תקווה",Good website (yanadlan.co.il) and operates under the RE/MAX franchise brand.
"אתי יצחק - יועצת ומשווקת נדל""ן, פתח תקווה",Good website — modern etiizhak.co.il with testimonials and clear service list.
ניסן אילון - מתווך בפתח תקווה,"Good website — modern nisan-ayallon.com, professional branding and boutique positioning."
"צ'ארלי חן, RE/MAX עוצמה, ראשון לציון",Franchise agent (RE/MAX) with a corporate profile website — no independent decision authority for this purpose.
"חמישה יועצי נדל""ן, ראשון לציון","Multi-agent network (2 branches, several consultants) with no single clearly provable owner/decision-maker, and an existing (bot-protected but apparently live) website at 5nadlan.co.il."
"הר-אל נדל""ן (שי ישועה), פתח תקווה","No website found, but the agency's ad.co.il listing showed zero active properties and no other deal-flow evidence could be confirmed — insufficient evidence of real activity."
"אסף רייכר, פתח תקווה","Insufficient public information to verify current deal flow, marketing activity, or follower engagement beyond a bare FB page title."
"איציק סמגין - יועץ נדל""ן, פתח תקווה","Appears to operate as an advisor within the 'מרכז הנדל""ן' (Nadlan Center) network/franchise rather than as an independent owner — decision authority unclear."
"ענק הנדל""ן, ראשון לציון","Business is focused on urban-renewal/pinuy-binuy project marketing and construction, not residential listing brokerage — off-ICP for photo-enhancement use case; also has an existing (if dated) website."
"דור כהן, סוכן נדל""ן, ראשון לציון",Facebook page appears very newly created with minimal content/history — insufficient evidence of established deal flow (anti-ICP: too new).
"רועי רינט נדל""ן, ראשון לציון",Owns a dedicated domain (rint-nadlan.com) but repeated fetch attempts could not reliably render page content to confirm website quality — excluded rather than guess.
"נדל""ן עסקי מסחרי (שחף), פתח תקווה","Commercial real estate investment/trade business, not residential brokerage — off-ICP."
"HomeRun תיווך ויזמות נדל""ן (Holon)","Good website — REJECT (homerunadlan.co.il, ranked #1 on Madlan for Holon, 10 years/300+ transactions)."
"זמיר נדל""ן (Holon/Bat Yam)","Good website — REJECT (zamirnadlan.co.il, professional multi-page site, established 2004, 8 agents)."
תיווך תרשיש (Holon/Bat Yam),"Good website — REJECT (broker-t.co.il, established 2014)."
"דניאל חסידים נדל""ן (Holon)",Good website — REJECT (danielhasidim.com); also affiliated with RE/MAX Avenue.
"ערן דרורי נדל""ן (Holon)",Good website — REJECT (eran-drory.co.il); part of the Keller Williams franchise network.
"אבניו נדל""ן / רימקס אבניו (Holon)","Good website — REJECT (avenue-nadlan.co.il); RE/MAX franchise, 'hundreds of referrals' per directory tagline."
נדלן פרו (Bat Yam/Givatayim),Good website — REJECT (nadlan-pro.co.il).
קלר וויליאמס בת ים (Keller Williams Bat Yam),National franchise with corporate web presence — REJECT.
רימקס - מתן עזרא (Bat Yam),RE/MAX franchise — REJECT (franchise agents carry the network's site/profile).
שיא מרכז / רי-מקס שיא - קרול אליאב (Bat Yam),Confirmed to actually be a RE/MAX Shia franchise location — REJECT.
"מרכז הנדל""ן (Bat Yam)","Good website — REJECT (merkazhanadlan.com), 30+ years, established company."
"אור הנדל""ן / אור נכסים (Holon/Bat Yam)","Ambiguous conflation risk with a larger, separate company (אור נכסים, or-n.co.il, primarily Shephela/Rehovot-based) — could not confirm this is a distinct, local owner-operated agency without further research, so skipped to avoid mixing data between agencies."
"נתנאל שירותי נדל""ן (Holon)","Ambiguous conflation risk with the much larger, unrelated 'Netanel Group' (50-year real estate group) — could not confirm this small FB page is a distinct entity, skipped to avoid data-mixing errors."
חי נכסים (Bat Yam),"Strong activity signal ('leading office,' many years, luxury/commercial/plots) but no publicly identifiable owner or lead-agent name found in any source checked — fails the decision-authority bar as verified."
"Bcity שירותי נדל""ן (Holon/Bat Yam)",No identifiable owner/lead-agent name found publicly; insufficient info to verify decision authority.
תיווך המרכז בת ים,"7 verified reviews and an active FB page show real activity, but no owner/lead-agent name found in any source — insufficient info to verify decision authority."
"שי מרום - יועץ נדל""ן (Bat Yam)",Insufficient public information gathered within available research budget to verify activity or authority.
"נדל""ן פלוס (Holon)",Insufficient public information gathered within available research budget.
"יובל טגליכט - יועץ נדל""ן (Holon/Bat Yam)",Cross-referenced content suggests he may operate under Eran Drory's Keller Williams team rather than independently — decision authority as an independent owner could not be established.
"ענת גרונדמן - יעוץ ושיווק נדל""ן (Holon)",Appears to operate as a consultant under a project-marketing company ('Yesodot') rather than as a fully independent owner; insufficient deal-flow evidence to clear the quality bar (score ~62/100).
"רומנו מזרחי תיווך ושיווק נדל""ן (Givatayim)",Ambiguous whether 'Romano' and 'Mizrahi' represent one or two people; insufficient activity evidence beyond the FB page name (score ~60/100).
"חיים בנדל""ן (Givatayim)",Only a first name ('Haim') could be confirmed; insufficient evidence of authority or activity.
